Equipo,Competición,Temporada,Partidos,%Posesion de balon,%Posesion en campo rival,Tiros,Tiros al arco,Goles,Goles esperados,Pases totales,Centros,Pases bajo presion,%Pases exitosos totales,%Pases exitosos bajo presion,%Pases exitosos sin presion,Offsides,Recuperaciones de balon,tiempo_presion,tiempo_presion_ofensiva,tiempo_presion_defensiva,bloqueos,despejes,duelos_ganados,faltas_cometidas,#se_llevan_a_un_defensa,intercepciones
Brazil,FIFA World Cup,1974,1,49.04704492918132,15.529685067583847,12.0,1.0,0.0,0.9091080156000001,429.0,8.0,40.0,80.65,72.5,81.49,1.0,60.0,74.72280799999999,23.917557999999996,50.80525000000001,16.0,8.0,3.0,26.0,6.0,7.0
Argentina,FIFA World Cup,1974,1,41.43635206385877,9.849832576220733,3.0,1.0,0.0,0.13200836,386.0,1.0,34.0,77.72,55.88,79.83,1.0,61.0,109.67771200000001,24.504035000000002,85.17367700000001,20.0,13.0,6.0,13.0,24.0,9.0
Sweden,FIFA World Cup,1974,1,39.48206170159006,11.151009223163557,8.0,3.0,0.0,0.686347812,294.0,10.0,37.0,68.37,64.86,68.87,0.0,46.0,147.59155800000002,17.101356000000003,130.490202,15.0,49.0,11.0,26.0,20.0,6.0
Argentina,Copa America,2024,6,57.26813431396158,18.60044847402867,14.0,6.666666666666667,2.1666666666666665,2.6419937239,555.1666666666666,5.833333333333333,82.0,86.76,77.64,88.34,0.3333333333333333,32.833333333333336,93.126365,41.91797733333333,51.20838766666666,19.5,13.5,7.0,12.166666666666666,10.166666666666666,3.5
Canada,Copa America,2024,6,46.35471898260068,19.450845231845474,11.833333333333334,4.666666666666667,1.8333333333333333,2.528507745,408.1666666666667,9.666666666666666,66.0,79.18,69.19,81.1,0.16666666666666666,43.833333333333336,126.15320433333333,54.80685883333334,71.3463455,21.0,22.166666666666668,6.666666666666667,14.666666666666666,6.5,5.166666666666667
Uruguay,Copa America,2024,6,52.47614836842112,22.16072464054674,14.5,6.5,3.0,2.412220137283333,403.5,13.333333333333334,62.166666666666664,79.06,66.49,81.35,0.16666666666666666,45.5,136.6759895,53.199251333333336,83.47673816666666,18.333333333333332,18.5,10.166666666666666,17.666666666666668,9.166666666666666,4.0
Colombia,Copa America,2024,6,53.71269784253041,20.93231634772321,12.333333333333334,4.666666666666667,2.0,1.4802419231833335,487.3333333333333,9.833333333333334,78.33333333333333,83.28,71.7,85.49,0.6666666666666666,42.333333333333336,129.02965483333332,61.11777833333334,67.9118765,18.0,14.333333333333334,8.666666666666666,16.833333333333332,7.333333333333333,4.0
Venezuela,Copa America,2024,4,52.13804801641355,22.656691573747132,14.75,4.75,2.25,2.4594260364249996,451.5,13.25,70.5,78.41,68.09,80.31,0.25,46.25,113.76815275,57.425826750000006,56.342326,17.25,24.0,9.75,12.25,7.0,4.5
Panama,Copa America,2024,4,54.89095149726965,24.01278765015945,12.0,3.75,1.25,0.763045734075,447.25,14.75,58.75,81.33,74.04,82.43,0.25,41.25,94.8551305,50.397565,44.4575655,13.0,16.0,6.0,16.25,7.0,4.5
Costa Rica,Copa America,2024,3,32.06037481435403,8.1516942002449,3.0,0.6666666666666666,0.6666666666666666,0.15802769733333336,296.6666666666667,1.6666666666666667,42.666666666666664,73.15,59.38,75.46,1.6666666666666667,42.666666666666664,126.74967633333331,42.553687000000004,84.19598933333333,22.666666666666668,24.0,6.666666666666667,16.0,10.0,2.6666666666666665
Brazil,Copa America,2024,4,60.11109295761989,26.760070019290513,12.5,5.25,1.75,2.2426214020000006,527.5,9.75,69.0,84.83,74.28,86.42,0.5,41.0,112.08007950000001,50.781999,61.2980805,17.25,16.5,9.75,14.75,7.5,5.25
United States,Copa America,2024,3,47.34301745557285,18.563303243724555,11.0,3.6666666666666665,1.0,1.2570665073333334,391.6666666666667,10.666666666666666,59.0,75.23,64.41,77.15,0.3333333333333333,31.666666666666668,108.21762,46.892204666666665,61.32541533333333,19.333333333333332,13.666666666666666,5.333333333333333,9.666666666666666,6.666666666666667,3.6666666666666665
Bolivia,Copa America,2024,3,41.883690145052505,11.57114571626533,5.333333333333333,2.0,0.3333333333333333,0.32055552429999995,404.3333333333333,5.0,63.0,80.71,72.49,82.23,0.3333333333333333,43.666666666666664,117.20399766666667,39.18808033333333,78.01591733333333,22.666666666666668,22.333333333333332,7.0,20.666666666666668,9.666666666666666,5.0
Mexico,Copa America,2024,3,61.09043563878456,27.70209844405861,18.666666666666668,6.333333333333333,0.3333333333333333,1.3971413633333334,513.0,16.666666666666668,71.0,80.31,66.67,82.5,0.6666666666666666,58.333333333333336,126.08844333333332,63.47455766666667,62.61388566666667,21.0,22.0,6.666666666666667,13.666666666666666,8.0,3.3333333333333335
Jamaica,Copa America,2024,3,46.203797354183216,15.171075494166036,9.0,2.6666666666666665,0.3333333333333333,0.6917570213333334,378.6666666666667,10.666666666666666,68.33333333333333,75.7,61.46,78.84,0.6666666666666666,47.0,66.09924233333334,22.45595833333333,43.643283999999994,26.0,23.666666666666668,7.666666666666667,11.333333333333334,6.0,4.666666666666667
Paraguay,Copa America,2024,3,49.57445081552353,21.41820282155387,12.333333333333334,4.333333333333333,1.0,0.7578585441,424.3333333333333,6.333333333333333,52.666666666666664,79.58,70.25,80.9,0.6666666666666666,43.333333333333336,112.39169666666665,55.847011,56.54468566666666,18.666666666666668,16.0,6.666666666666667,18.0,9.333333333333334,6.0
Ecuador,Copa America,2024,4,43.23271782051694,15.878244287171466,12.75,4.0,1.5,1.913060414275,327.25,9.5,46.0,74.56,59.24,77.07,0.5,45.5,100.59549,39.902727,60.692763,20.75,27.25,6.0,14.5,6.25,3.75
